backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250321_1121,TSMixer_univariate,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.3553,[0.260241 0.668345 0.137312],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[564.4879760742188, 551.5693969726562, 547.7432250976562]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,0.686442,[0.594257 1.046643 0.418426],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[540.7144165039062, 532.133544921875, 475.70086669921875]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,61,series_00008,0,2018-10-01,True,2018-11-01,2019-01-01,0.042547,[0.059104 0.018965 0.049571],"[106.87354278564453, 109.1941146850586, 112.82874298095703]","[113.1902084350586, 111.26494598388672, 118.42176818847656]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.418672,[0.863282 0.153079 0.239656],"[100.0, 206.1466064453125, 224.12342834472656]","[186.3281707763672, 174.5898895263672, 170.4109649658203]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,243,series_00250,0,2018-10-01,True,2018-11-01,2019-01-01,0.538129,[0.047616 1.273543 0.293229],"[541.8925170898438, 214.5341339111328, 697.3199462890625]","[567.695068359375, 487.75250244140625, 492.84521484375]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,13,series_00049,1,2018-11-01,False,2018-12-01,2019-02-01,0.246477,[0.565395 0.018285 0.155751],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[517.533203125, 490.41796875, 427.5107421875]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,30,series_00132,1,2018-11-01,False,2018-12-01,2019-02-01,0.377152,[0.792901 0.262075 0.07648 ],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[466.15997314453125, 423.2652587890625, 386.1932067871094]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,61,series_00008,1,2018-11-01,False,2018-12-01,2019-02-01,0.062398,[0.031832 0.031642 0.12372 ],"[109.1941146850586, 112.82874298095703, 130.8035888671875]","[112.66999816894531, 116.39888000488281, 114.6206283569336]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,66,series_00031,1,2018-11-01,False,2018-12-01,2019-02-01,0.189284,[0.04492  0.141747 0.381184],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[196.88653564453125, 192.35467529296875, 151.8696746826172]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250321_1121,TSMixer_univariate,243,series_00250,1,2018-11-01,False,2018-12-01,2019-02-01,0.664924,[1.476396 0.285324 0.233053],"[214.5341339111328, 697.3199462890625, 606.7904663085938]","[531.2713623046875, 498.35784912109375, 465.3759765625]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_univariate_utc_20250321_1121/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 32, 'ff_size': 256, 'num_blocks': 1, 'dropout': 0.23399289665506579, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 128, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 33.046392051187624, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7ff612671810>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7ff45c759110>]}, 'optimizer_kwargs': {'weight_decay': 0.0005005075948781991}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 26101, 'max_lr': 3.57628811825899e-06, 'pct_start': 0.3, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
