backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250322_0058,TFT_univariate,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.216723,[0.075392 0.241231 0.333547],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[481.6900329589844, 410.36181640625, 320.9715576171875]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,0.06554,[0.026637 0.08497  0.085013],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[348.1982727050781, 237.91067504882812, 363.8833312988281]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,61,series_00008,0,2018-10-01,True,2018-11-01,2019-01-01,0.434118,[0.116326 0.654256 0.531771],"[106.87354278564453, 109.1941146850586, 112.82874298095703]","[119.30567169189453, 37.7531852722168, 52.82966613769531]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.209326,[0.017227 0.334633 0.276117],"[100.0, 206.1466064453125, 224.12342834472656]","[101.72274780273438, 275.13006591796875, 162.2390899658203]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,243,series_00250,0,2018-10-01,True,2018-11-01,2019-01-01,0.425614,[0.24268  0.598781 0.435381],"[541.8925170898438, 214.5341339111328, 697.3199462890625]","[410.38580322265625, 86.07522583007812, 393.7198486328125]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,13,series_00049,1,2018-11-01,False,2018-12-01,2019-02-01,0.262155,[0.251751 0.24412  0.290595],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[413.8396911621094, 364.0409851074219, 262.40802001953125]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,30,series_00132,1,2018-11-01,False,2018-12-01,2019-02-01,0.234089,[0.063971 0.444544 0.193753],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[276.63580322265625, 186.2847442626953, 289.2454833984375]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,61,series_00008,1,2018-11-01,False,2018-12-01,2019-02-01,0.383322,[0.066678 0.549736 0.533552],"[109.1941146850586, 112.82874298095703, 130.8035888671875]","[116.47499084472656, 50.802711486816406, 61.012996673583984]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,66,series_00031,1,2018-11-01,False,2018-12-01,2019-02-01,0.380512,[0.436967 0.240705 0.463862],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[116.06737518310547, 278.07110595703125, 160.9606475830078]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
20250322_0058,TFT_univariate,243,series_00250,1,2018-11-01,False,2018-12-01,2019-02-01,0.706443,[1.001876 0.833883 0.283569],"[214.5341339111328, 697.3199462890625, 606.7904663085938]","[429.47064208984375, 115.83639526367188, 434.72357177734375]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_univariate_utc_20250322_0058/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'lstm_layers': 2, 'num_attention_heads': 2, 'dropout': 0.06932831482447399, 'use_reversible_instance_norm': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 1.9321964190347296, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f31ed3cb5d0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f31ea44ba90>]}, 'optimizer_kwargs': {'weight_decay': 0.0005656250933240104}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.002493468432211388, 'pct_start': 0.25, 'div_factor': 35, 'final_div_factor': 250, 'three_phase': True}}}"
