backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250322_1254,TFT_multivariate,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.237674,[0.204417 0.372919 0.135688],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[539.4830322265625, 453.8988342285156, 416.2630310058594]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,0.634426,[0.529601 0.824077 0.549601],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[518.785400390625, 474.265625, 519.6934204101562]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,61,series_00008,0,2018-10-01,True,2018-11-01,2019-01-01,0.086382,[0.002597 0.128335 0.128213],"[106.87354278564453, 109.1941146850586, 112.82874298095703]","[106.59597778320312, 123.20751190185547, 98.36257934570312]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.400339,[0.638304 0.500532 0.062181],"[100.0, 206.1466064453125, 224.12342834472656]","[163.8303680419922, 309.3296203613281, 238.0596160888672]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,243,series_00250,0,2018-10-01,True,2018-11-01,2019-01-01,0.897144,[0.107203 2.217766 0.366462],"[541.8925170898438, 214.5341339111328, 697.3199462890625]","[599.9851684570312, 690.3206787109375, 441.77862548828125]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,13,series_00049,1,2018-11-01,False,2018-12-01,2019-02-01,0.277327,[0.50047  0.224217 0.107293],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[496.06842041015625, 373.6260986328125, 330.2111511230469]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,30,series_00132,1,2018-11-01,False,2018-12-01,2019-02-01,0.396613,[0.760713 0.14323  0.285896],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[457.7908020019531, 383.4078063964844, 461.32208251953125]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,61,series_00008,1,2018-11-01,False,2018-12-01,2019-02-01,0.137295,[0.048629 0.092478 0.270777],"[109.1941146850586, 112.82874298095703, 130.8035888671875]","[103.88408660888672, 123.2629623413086, 95.38497924804688]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,66,series_00031,1,2018-11-01,False,2018-12-01,2019-02-01,0.60607,[0.207463 0.421634 1.189113],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[163.3788604736328, 318.6215515136719, 240.7063446044922]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
20250322_1254,TFT_multivariate,243,series_00250,1,2018-11-01,False,2018-12-01,2019-02-01,0.681475,[1.7648   0.007229 0.272396],"[214.5341339111328, 697.3199462890625, 606.7904663085938]","[593.1439819335938, 692.2789916992188, 441.50347900390625]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 9, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TFT_multivariate_utc_20250322_1254/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 64, 'lstm_layers': 1, 'num_attention_heads': 3, 'dropout': 0.5550119934591133, 'use_reversible_instance_norm': True}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 8, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 1, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 15.75770858710048, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f9c795edf50>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f9a707230d0>]}, 'optimizer_kwargs': {'weight_decay': 0.0002118407263543542}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 1501, 'max_lr': 0.00011978906880730923, 'pct_start': 0.1, 'div_factor': 45, 'final_div_factor': 250, 'three_phase': False}}}"
