backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250322_1741,AutoARIMA,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.217879,[0.135714 0.495496 0.022427],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[508.7094452511827, 494.42383120395516, 492.41284756017546]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,13,series_00049,1,2018-11-01,True,2018-12-01,2019-02-01,0.378316,[0.406514 0.136302 0.59213 ],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[465.0058241902094, 547.2566653711511, 588.9270362881759]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,13,series_00049,2,2018-12-01,True,2019-01-01,2019-03-01,0.265396,[0.156443 0.547672 0.092073],"[481.6119079589844, 369.89874267578125, 524.2074584960938]","[556.9565169060422, 572.481926755982, 572.4730556190129]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,13,series_00049,3,2019-01-01,True,2019-02-01,2019-04-01,0.218868,[0.503197 0.137763 0.015646],"[369.89874267578125, 524.2074584960938, 615.3228759765625]","[556.0306276012748, 596.4236489357891, 605.6957017599443]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,13,series_00049,4,2019-02-01,True,2019-03-01,2019-05-01,0.136277,[0.140272 0.017301 0.251258],"[524.2074584960938, 615.3228759765625, 475.0140380859375]","[597.7392305615249, 604.6773705461837, 594.3650576764486]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,13,series_00049,5,2019-03-01,True,2019-04-01,2019-06-01,0.192032,[0.054443 0.28954  0.232113],"[615.3228759765625, 475.0140380859375, 498.5135803222656]","[581.8228559847585, 612.5496234270444, 614.2249171794896]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,0.775382,[0.532049 1.113189 0.680908],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[519.6159195387274, 549.4358021943104, 563.7303560500368]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,30,series_00132,1,2018-11-01,True,2018-12-01,2019-02-01,0.951128,[1.165399 0.884664 0.80332 ],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[563.0106268501748, 632.0644827150454, 646.9510333163952]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,30,series_00132,2,2018-12-01,True,2019-01-01,2019-03-01,0.650648,[0.888569 0.850809 0.212566],"[335.3724365234375, 358.7554931640625, 538.8729248046875]","[633.3740027182431, 663.9878615102899, 653.4190656066818]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,30,series_00132,3,2019-01-01,True,2019-02-01,2019-04-01,0.606559,[0.810641 0.292038 0.716997],"[358.7554931640625, 538.8729248046875, 401.58026123046875]","[649.5775468354348, 696.2445041009048, 689.5122061543166]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
