backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250323_1600,RNN_univariate,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.89041,[0.502316 1.541545 0.627369],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[672.9183959960938, 840.2567138671875, 783.760498046875]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,1.24582,[0.789067 1.808545 1.139848],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[606.7869873046875, 730.23046875, 717.6461791992188]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,61,series_00008,0,2018-10-01,True,2018-11-01,2019-01-01,0.512218,[0.293109 0.449096 0.794448],"[106.87354278564453, 109.1941146850586, 112.82874298095703]","[138.1990966796875, 158.2327880859375, 202.46527099609375]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.321826,[0.597466 0.071512 0.2965  ],"[100.0, 206.1466064453125, 224.12342834472656]","[159.7466278076172, 220.8885955810547, 290.5760192871094]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,243,series_00250,0,2018-10-01,True,2018-11-01,2019-01-01,0.857681,[0.033933 2.048064 0.491047],"[541.8925170898438, 214.5341339111328, 697.3199462890625]","[560.280517578125, 653.9136352539062, 354.9033203125]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,13,series_00049,1,2018-11-01,False,2018-12-01,2019-02-01,0.861035,[1.168379 0.476661 0.938065],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[716.8848876953125, 711.1776733398438, 716.8877563476562]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,30,series_00132,1,2018-11-01,False,2018-12-01,2019-02-01,1.059233,[1.449664 0.927124 0.80091 ],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[636.9203491210938, 646.3042602539062, 646.0862426757812]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,61,series_00008,1,2018-11-01,False,2018-12-01,2019-02-01,0.501832,[0.083874 0.218352 1.203268],"[109.1941146850586, 112.82874298095703, 130.8035888671875]","[118.35271453857422, 137.46517944335938, 288.1954345703125]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,66,series_00031,1,2018-11-01,False,2018-12-01,2019-02-01,0.649753,[0.145022 0.356613 1.447624],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[236.0424346923828, 304.048828125, 269.1311950683594]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
20250323_1600,RNN_univariate,243,series_00250,1,2018-11-01,False,2018-12-01,2019-02-01,0.996056,[2.093115 0.506592 0.38846 ],"[214.5341339111328, 697.3199462890625, 606.7904663085938]","[663.5786743164062, 344.063232421875, 371.0763854980469]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 24, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_univariate_utc_20250323_1600/backtest_window_0')}, 'model_architecture_params': {'model': 'GRU', 'hidden_dim': 32, 'n_rnn_layers': 1, 'dropout': 0.08689157633888497}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 512, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': True, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 28.674945163756654, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd40c77bdd0>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd3dc633150>]}, 'optimizer_kwargs': {'weight_decay': 3.958943284084275e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 3601, 'max_lr': 0.0045430078097246675, 'pct_start': 0.3, 'div_factor': 40, 'final_div_factor': 250, 'three_phase': True}}}"
