backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250402_1852,TSMixer_multivariate,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.407615,[0.286152 0.738756 0.197936],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[576.0938110351562, 574.8478393554688, 576.9402465820312]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,0.595733,[0.460387 0.844915 0.481897],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[495.3107604980469, 479.6836853027344, 496.98724365234375]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,61,series_00008,0,2018-10-01,True,2018-11-01,2019-01-01,0.017654,[0.016091 0.000473 0.036397],"[106.87354278564453, 109.1941146850586, 112.82874298095703]","[108.59325408935547, 109.14247131347656, 108.72207641601562]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.425247,[0.706232 0.139637 0.429873],"[100.0, 206.1466064453125, 224.12342834472656]","[170.62319946289062, 177.36099243164062, 127.77871704101562]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,243,series_00250,0,2018-10-01,True,2018-11-01,2019-01-01,0.580011,[0.127664 1.306592 0.305776],"[541.8925170898438, 214.5341339111328, 697.3199462890625]","[472.71240234375, 494.8426513671875, 484.0959167480469]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,13,series_00049,1,2018-11-01,False,2018-12-01,2019-02-01,0.149288,[0.22138  0.220141 0.006343],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[403.7989807128906, 375.58935546875, 367.5523376464844]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,30,series_00132,1,2018-11-01,False,2018-12-01,2019-02-01,0.217999,[0.534356 0.09172  0.027922],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[398.9374084472656, 366.1329345703125, 348.7383728027344]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,61,series_00008,1,2018-11-01,False,2018-12-01,2019-02-01,0.072378,[0.002417 0.031024 0.183693],"[109.1941146850586, 112.82874298095703, 130.8035888671875]","[109.4579849243164, 109.32835388183594, 106.77587127685547]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,66,series_00031,1,2018-11-01,False,2018-12-01,2019-02-01,0.301308,[0.305762 0.343859 0.254301],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[143.11477661132812, 147.0564727783203, 137.91812133789062]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
20250402_1852,TSMixer_multivariate,243,series_00250,1,2018-11-01,False,2018-12-01,2019-02-01,0.534104,[0.759268 0.457986 0.385058],"[214.5341339111328, 697.3199462890625, 606.7904663085938]","[377.4231262207031, 377.95751953125, 373.1411437988281]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 3, 'use_static_covariates': True, 'random_state': 1000, 'force_reset': True, 'save_checkpoints': False, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/TSMixer_multivariate_utc_20250402_1852/backtest_window_0')}, 'model_architecture_params': {'hidden_size': 256, 'ff_size': 128, 'num_blocks': 3, 'dropout': 0.033462699366369475, 'use_reversible_instance_norm': True, 'normalize_before': False}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 3.0329084490967655, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7f1af6967710>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7f1b00d74390>]}, 'optimizer_kwargs': {'weight_decay': 0.00030647893447701747}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 7.357740005720541e-06, 'pct_start': 0.25, 'div_factor': 45, 'final_div_factor': 500, 'three_phase': False}}}"
