backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250403_1318,RNN_multivariate,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.169285,[0.039834 0.428304 0.039718],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[465.7632141113281, 472.2095947265625, 500.7404479980469]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,0.889557,[0.731023 1.228973 0.708677],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[587.1005249023438, 579.5400390625, 573.0430297851562]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,61,series_00008,0,2018-10-01,True,2018-11-01,2019-01-01,0.125683,[0.058548 0.114226 0.204277],"[106.87354278564453, 109.1941146850586, 112.82874298095703]","[113.13072967529297, 96.72134399414062, 89.78042602539062]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.376013,[0.603422 0.249099 0.275519],"[100.0, 206.1466064453125, 224.12342834472656]","[160.3422088623047, 154.7957305908203, 162.3730926513672]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,243,series_00250,0,2018-10-01,True,2018-11-01,2019-01-01,0.494786,[0.430965 0.638206 0.415187],"[541.8925170898438, 214.5341339111328, 697.3199462890625]","[308.35595703125, 351.4511413574219, 407.80181884765625]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,13,series_00049,1,2018-11-01,False,2018-12-01,2019-02-01,0.302319,[0.446139 0.072547 0.38827 ],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[478.1061096191406, 516.551513671875, 513.5192260742188]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,30,series_00132,1,2018-11-01,False,2018-12-01,2019-02-01,0.789399,[1.087073 0.657107 0.624017],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[542.6454467773438, 555.7479248046875, 582.625]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,61,series_00008,1,2018-11-01,False,2018-12-01,2019-02-01,0.153524,[0.025332 0.141096 0.294143],"[109.1941146850586, 112.82874298095703, 130.8035888671875]","[106.4279556274414, 96.9090576171875, 92.32860565185547]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,66,series_00031,1,2018-11-01,False,2018-12-01,2019-02-01,0.325457,[0.140388 0.145273 0.69071 ],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[177.2061767578125, 191.56427001953125, 185.90396118164062]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
20250403_1318,RNN_multivariate,243,series_00250,1,2018-11-01,False,2018-12-01,2019-02-01,0.463929,[0.738837 0.369612 0.28334 ],"[214.5341339111328, 697.3199462890625, 606.7904663085938]","[373.039794921875, 439.58245849609375, 434.86236572265625]","{'base_params': {'output_chunk_length': 3, 'output_chunk_shift': 1, 'input_chunk_length': 6, 'random_state': 1000, 'force_reset': True, 'work_dir': PosixPath('/workspace/logs/tensorboard_logs/backtest/RNN_multivariate_utc_20250403_1318/backtest_window_0')}, 'model_architecture_params': {'model': 'LSTM', 'hidden_dim': 256, 'n_rnn_layers': 2, 'dropout': 0.3343401769724789}, 'trainer_params': {'optimizer_cls': <class 'torch.optim.adamw.AdamW'>, 'n_epochs': 300, 'batch_size': 16, 'pl_trainer_kwargs': {'accelerator': 'gpu', 'devices': 1, 'enable_progress_bar': True, 'enable_model_summary': True, 'enable_checkpointing': False, 'check_val_every_n_epoch': 1, 'log_every_n_steps': 10, 'gradient_clip_algorithm': 'norm', 'gradient_clip_val': 0.33680256770480566, 'logger': <pytorch_lightning.loggers.tensorboard.TensorBoardLogger object at 0x7fd124abb650>, 'callbacks': [<pytorch_lightning.callbacks.early_stopping.EarlyStopping object at 0x7fd115935810>]}, 'optimizer_kwargs': {'weight_decay': 4.892673934705994e-05}}, 'early_stopping_kwargs': {'patience': 15, 'min_delta': 0.0005}, 'lr_scheduler_params': {'lr_scheduler_cls': <class 'torch.optim.lr_scheduler.OneCycleLR'>, 'lr_scheduler_kwargs': {'interval': 'step', 'frequency': 1, 'total_steps': 901, 'max_lr': 0.0003355683600856919, 'pct_start': 0.2, 'div_factor': 45, 'final_div_factor': 75, 'three_phase': False}}}"
